strategy,solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,detected_priority,complexity_level,risk_level,gt_weight_surplus_usd,gt_weight_surplus_percentage,gt_weight_gas_cost,gt_weight_protocol_fees,gt_weight_total_hops,gt_weight_protocols_count,gt_weight_estimated_execution_time,gt_weight_solver_reputation_score,gt_weight_solver_success_rate
Surplus-First,16213,61095,353830,immediate,81,2.7022776302907285,4,False,False,False,maximize_output,62.73,9.69,6.55,21.03,False,2,1,"stable,volatile",stable,4061.01,4141.01,coingecko,0.9,2.35,42,False,0.939,api,4,9.23,0.2273,0.62,complex_defi,output,moderate,high,0.2807,0.2329,0.0846,0.0587,0.024,0.0185,0.0796,0.1091,0.1119
Surplus-First,21823,61000,2093509,good_til_cancel,68,2.9119486535415806,4,True,True,True,maximize_output,71.44,13.4,6.54,8.63,True,1,2,stable,"stable,volatile",2956.95,2997.61,dexscreener,0.952,2.21,72,False,0.723,telegram,1,4.22,0.1428,0.49,complex_defi,output,complex,high,0.2848,0.2167,0.0763,0.0458,0.0478,0.0391,0.061,0.1365,0.092
Reputation-Trust,19857,170158,964148,immediate,52,2.397654422416252,3,True,False,True,balanced,27.96,22.73,1.48,47.83,True,1,2,"native,stable","stable,volatile",588.13,581.59,dexscreener,0.892,1.28,35,False,0.895,api,3,0.92,0.1568,0.41,complex_defi,output,moderate,medium,0.1138,0.1462,0.1348,0.049,0.0401,0.0428,0.0922,0.1834,0.1977
Gas-Optimized,31936,141080,6696530,immediate,68,2.053701077208415,2,False,False,True,minimize_gas,22.74,53.24,10.44,13.57,False,1,1,stable,stable,135.48,134.17,internal,0.868,0.87,49,True,0.806,web,2,0.09,0.0669,0.72,limit_order,cost,simple,medium,0.1119,0.0925,0.3482,0.1044,0.1184,0.0469,0.0534,0.0541,0.0702
Surplus-First,16467,174714,776743,good_til_cancel,77,2.747592263559707,4,True,False,False,maximize_output,60.27,10.2,6.21,23.31,True,2,1,"stable,volatile",native,6800.48,6860.31,internal,0.885,1.98,53,True,0.735,mobile,4,19.59,0.288,0.49,complex_defi,output,moderate,high,0.2825,0.2103,0.0633,0.0641,0.0475,0.0455,0.0554,0.1237,0.1077
Gas-Optimized,34816,311056,6488895,immediate,79,2.18815730282564,2,True,False,True,minimize_gas,19.39,57.96,5.45,17.19,False,1,1,native,volatile,686.53,674.51,coingecko,0.867,0.73,41,True,0.816,mobile,2,0.65,0.0954,0.55,limit_order,cost,moderate,medium,0.1306,0.0861,0.3078,0.0868,0.1282,0.085,0.0598,0.0549,0.0608
Reputation-Trust,12054,98302,1317933,fill_or_kill,70,2.5451006577405386,4,False,False,False,balanced,26.36,24.26,6.42,42.95,True,2,1,native,"stable,volatile",3621.16,3663.3,dexscreener,0.892,1.92,62,True,0.924,telegram,2,2.71,0.0748,0.56,complex_defi,output,moderate,high,0.1367,0.107,0.1409,0.0732,0.0446,0.0595,0.1165,0.1669,0.1547
Surplus-First,18356,61479,1686480,immediate,95,2.968747225235424,3,True,False,True,maximize_output,71.13,6.3,10.84,11.73,False,2,2,stable,native,21711.14,21733.19,coingecko,0.918,2.68,40,False,0.836,telegram,0,29.82,0.1374,0.74,complex_defi,output,moderate,high,0.2875,0.2118,0.0588,0.0704,0.035,0.0311,0.0709,0.1205,0.114
Surplus-First,12152,93080,1453500,immediate,74,2.997313877930462,4,False,False,True,maximize_output,61.47,5.81,11.08,21.64,True,1,2,"stable,volatile",volatile,45530.19,45373.23,dexscreener,0.902,2.59,50,False,0.778,api,2,131.31,0.2884,0.64,complex_defi,output,moderate,high,0.3056,0.2148,0.0557,0.053,0.0435,0.032,0.058,0.0865,0.1509
Reputation-Trust,17463,136067,522022,fill_or_kill,65,2.742052067529917,4,False,False,False,maximize_output,25.1,27.49,7.03,40.38,True,3,1,volatile,"stable,volatile",404.07,407.4,dexscreener,0.967,1.63,45,True,0.852,web,4,0.4,0.0988,0.37,complex_defi,cost,moderate,medium,0.136,0.1426,0.1232,0.0437,0.0612,0.0607,0.0901,0.1681,0.1744
